REPOSITORY                               TAG                                                        IMAGE ID       CREATED             SIZE
milkyhoop-ragcrud_service                latest                                                     cfcfc2075fdc   2 months ago        942MB
milkyhoop-ragllm_service                 latest                                                     3b33a75807a7   2 months ago        883MB
milkyhoop-ragindex_service               latest                                                     44329c99d91b   2 months ago        889MB
alpine                                   latest                                                     9234e8fb04c4   2 months ago        8.31MB
milkyhoop-memory_service                 latest                                                     c38db3bddd81   2 months ago        588MB
redis                                    latest                                                     f2cd22713a18   2 months ago        128MB
redis                                    7-alpine                                                   f218e591b571   2 months ago        41.4MB
postgres                                 14                                                         8d6fe29c89ae   4 months ago        426MB
traefik                                  v3.0                                                       7a4ed730cae1   15 months ago       172MB
confluentinc/cp-kafka                    7.3.2                                                      da23a46211ad   2 years ago         832MB
confluentinc/cp-zookeeper                7.3.2                                                      8a091961522e   2 years ago         832MB
